"uid","ELECYEAR","ID","NAME","RESPONSE","PREFEC","DISTRICT","PRBLOCK","INCUMB","TERM","PARTY","SEX","AGE","RESULT","prim1","prim2","prim3","camp1","camp2","camp3","coal_lib","coal_dem","coal_kmei","coal_com","coal_soc","coal_koku","yn_medconst","yn_reps","yn_const","yn_defense","yn_preemp","yn_unsc","yn_nkorea","yn_smgov","yn_pubspend","yn_fiscalpol","yn_tax5yrs","yn_frgnvote","yn_frgnwork","yn_privacy","yn_tax10pc","yn_moral","ab_asiaus","ab_compet","ab_env","ab_singlemum","ab_trade","fav_masuzoe","fav_ozawa","fav_watanabe","fav_hashimoto","media_hp","media_sns","media_tv"
749,"2009","20","佐々木＝隆博",1,1,6,51,3,1,"民主党",1,59,1,,,,3,,,3,4,3,3,1,1,5,3,5,3,5,2,2,5,3,2,5,2,3,5,,,,,2,4,2,25,90,60,60,,,
218,"2009","21","荻生＝和敏",1,1,6,51,1,0,"共産党",1,59,4,,,,3,2,1,3,3,3,4,3,3,1,5,5,5,5,4,5,5,2,3,5,1,4,5,,,,,3,4,2,10,25,10,10,,,
2235,"2009","22","武田＝慎一",1,1,6,,1,0,"諸派",1,42,4,,,,4,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,1,5,2,1,1,,,,,5,2,5,50,0,60,60,,,
47,"2009","23","伊東＝良孝",1,1,7,51,1,0,"自民党",1,60,1,,,,1,5,2,4,2,1,3,3,2,4,3,2,2,3,1,2,4,2,2,3,4,2,3,,,,,2,3,2,80,30,60,60,,,
1860,"2009","24","仲野＝博子",1,1,7,51,3,2,"民主党",2,49,3,,,,3,2,1,3,4,3,3,2,2,3,5,5,5,5,2,5,5,1,1,5,1,4,5,,,,,3,5,1,0,100,50,50,,,
512,"2009","25","金成＝幸子",1,1,7,,1,0,"諸派",2,50,4,,,,1,,,2,3,3,3,3,3,1,2,1,1,1,1,1,1,2,1,5,3,1,3,,,,,4,2,4,25,0,50,50,,,
2264,"2009","26","福島＝啓史郎",1,1,8,51,1,0,"自民党",1,62,4,,,,5,3,1,4,3,1,3,3,2,1,1,1,1,1,1,1,5,2,3,5,5,2,3,,,,,3,3,2,50,0,0,0,,,
19,"2009","27","逢坂＝誠二",1,1,8,51,3,1,"民主党",1,49,1,,,,3,4,1,3,4,3,3,1,1,5,2,3,3,3,1,3,4,3,3,4,2,2,2,,,,,2,5,2,50,100,80,80,,,
1427,"2009","28","西野＝晃",1,1,8,,1,0,"諸派",1,32,4,,,,4,1,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,4,5,2,1,5,,,,,4,3,4,40,40,50,50,,,
763,"2009","29","佐藤＝健治",1,1,8,,1,0,"無所属",1,51,4,,,,5,,,,,,,,,,,,,,1,1,5,,1,,,,,,,,,,,,,,,,,,
1557,"2009","30","川畑＝悟",1,1,9,51,1,0,"自民党",1,37,4,,,,1,5,3,4,2,1,3,3,2,1,2,2,3,2,1,1,3,2,1,3,4,3,3,,,,,2,2,1,80,50,70,80,,,
2160,"2009","31","鳩山＝由紀夫",1,1,9,,3,7,"民主党",1,61,1,,,,1,3,4,3,4,3,3,1,1,5,3,1,3,5,1,5,5,3,3,5,2,3,4,,,,,2,3,3,25,100,75,75,,,
768,"2009","32","佐藤＝昭子",1,1,9,51,1,0,"共産党",2,65,4,,,,1,2,5,3,3,3,4,3,3,3,5,5,5,5,2,5,5,1,3,5,1,2,5,,,,,3,3,1,,,,,,,
2476,"2009","33","里村＝英一",1,1,9,,1,0,"諸派",1,49,4,,,,1,3,4,2,3,3,3,3,3,1,1,1,1,1,2,1,3,3,4,5,5,1,5,,,,,5,3,5,20,0,50,50,,,
2169,"2009","34","飯島＝夕雁",1,1,10,51,3,1,"自民党",2,44,4,,,,,,,4,2,1,3,3,2,3,,1,2,2,1,1,5,2,1,3,5,4,2,,,,,4,3,2,70,0,40,50,,,
1126,"2009","35","小平＝忠正",1,1,10,51,3,6,"民主党",1,66,1,,,,1,3,,3,4,3,3,2,2,5,3,3,3,3,1,2,4,2,2,4,3,3,4,,,,,3,4,2,50,70,50,50,,,
1704,"2009","36","大林＝誠",1,1,10,,1,0,"諸派",1,36,4,,,,4,3,1,2,3,3,3,3,2,1,1,1,1,1,5,2,2,3,4,5,5,1,3,,,,,3,5,5,25,0,50,75,,,
1803,"2009","37","中川＝昭一",1,1,11,51,3,8,"自民党",1,55,4,,,,2,5,3,4,,,,,,3,3,1,1,1,1,1,2,2,2,1,5,4,2,,,,,2,1,2,55,5,40,50,,,
1486,"2009","38","石川＝知裕",1,1,11,51,3,1,"民主党",1,35,1,,,,1,3,4,3,4,3,3,1,1,5,5,5,3,5,3,5,5,2,3,5,2,3,5,,,,,2,3,3,50,100,75,75,,,
1981,"2009","39","渡辺＝紫",1,1,11,51,1,0,"共産党",2,60,4,,,,1,2,5,3,3,3,4,3,3,3,5,5,5,5,2,5,5,1,3,5,1,2,5,,,,,3,3,1,,,,,,,
2242,"2009","40","武部＝勤",1,1,12,51,3,7,"自民党",1,67,3,,,,4,1,3,4,2,1,3,3,2,1,1,1,2,2,1,2,4,1,2,3,3,1,2,,,,,2,2,2,75,10,60,60,,,
1209,"2009","41","松木＝謙公",1,1,12,51,3,2,"民主党",1,49,1,,,,,,,3,4,3,3,2,2,5,5,4,4,5,5,2,5,2,1,5,4,4,4,,,,,,,,,,,,,,
296,"2009","42","笠松＝長麿",1,1,12,,1,0,"諸派",1,56,4,,,,3,4,,3,3,3,3,3,3,1,1,1,1,1,1,1,3,3,5,5,5,1,3,,,,,3,1,4,55,0,75,,,,
179,"2009","43","横山＝北斗",1,2,1,52,3,1,"民主党",1,45,1,,,,1,5,3,3,4,3,3,2,1,5,1,5,1,3,1,1,4,3,3,3,5,2,3,,,,,3,1,1,0,100,0,0,,,
401,"2009","44","吉俣＝洋",1,2,1,52,1,0,"共産党",1,34,4,,,,2,3,5,3,3,3,4,3,3,2,5,5,5,5,2,5,5,3,3,5,1,3,4,,,,,3,3,1,0,0,0,0,,,
1973,"2009","45","渡辺＝英彦",1,2,1,52,1,0,"社民党",1,68,4,,,,1,2,5,3,2,3,3,4,2,1,3,5,5,5,2,5,5,2,3,5,1,3,5,,,,,2,4,2,50,50,50,50,,,
1234,"2009","46","上田＝一博",1,2,1,,1,0,"諸派",1,59,4,,,,1,3,4,2,,,,,,1,1,1,1,1,1,1,1,1,5,5,1,1,3,,,,,3,2,5,56,10,75,70,,,
1068,"2009","47","升田＝世喜男",1,2,1,,1,0,"無所属",1,51,4,,,,1,5,4,,,,,,,4,1,1,1,4,1,1,3,2,1,5,5,4,2,,,,,2,1,1,40,30,60,75,,,
1896,"2009","48","津島＝淳",1,2,1,,1,0,"無所属",1,42,4,,,,1,3,2,4,3,1,3,3,2,1,4,1,3,2,1,1,4,1,1,3,4,4,2,,,,,2,5,2,75,,,,,,
646,"2009","49","江渡＝聡徳",1,2,2,52,3,3,"自民党",1,53,1,,,,1,3,2,4,,,,,,4,2,1,1,2,1,1,4,1,1,1,4,3,2,,,,,3,2,3,70,10,25,20,,,
1856,"2009","50","中野渡＝詔子",1,2,2,52,1,0,"民主党",2,38,3,,,,1,5,3,3,4,3,3,1,1,3,3,4,1,3,1,2,5,3,3,4,1,4,4,,,,,2,5,2,50,100,50,50,,,
1286,"2009","51","森光＝浄",1,2,2,,1,0,"諸派",1,59,4,,,,1,3,4,2,,,,,,2,2,1,1,1,1,1,3,3,1,5,3,2,3,,,,,3,2,4,50,10,60,60,,,
530,"2009","52","熊谷＝ヒサ子",1,2,2,,1,0,"無所属",2,61,4,,,,5,1,2,3,3,3,3,3,3,4,3,3,2,2,2,2,4,1,1,2,2,3,2,,,,,2,4,2,70,40,60,60,,,
1691,"2009","53","大島＝理森",1,2,3,52,3,8,"自民党",1,62,1,,,,,,,4,,1,,,,4,1,1,2,3,1,1,4,1,1,,3,2,1,,,,,2,2,3,,,,,,,
1960,"2009","54","田名部＝匡代",1,2,3,52,3,2,"民主党",2,39,3,,,,3,2,4,,4,,,,,5,3,4,2,3,1,2,4,3,3,3,2,3,4,,,,,2,3,3,50,100,50,50,,,
1792,"2009","55","中西＝修二",1,2,3,,1,0,"諸派",1,62,4,,,,3,4,1,2,3,3,3,3,2,1,3,1,1,1,1,1,2,3,5,5,2,2,4,,,,,3,1,3,50,0,50,75,,,
2403,"2009","56","木村＝太郎",1,2,4,52,3,4,"自民党",1,43,1,,,,1,5,3,4,3,1,3,3,3,3,2,1,1,3,1,2,3,2,1,3,3,3,3,,,,,3,2,2,,,,,,,
1895,"2009","57","津島＝恭一",1,2,4,52,2,2,"民主党",1,54,3,,,,1,3,4,3,4,3,3,1,1,1,3,3,3,1,1,1,4,2,1,5,3,3,2,,,,,2,2,1,0,100,50,0,,,
1499,"2009","58","石田＝昭弘",1,2,4,,1,0,"諸派",1,50,4,,,,4,3,2,2,3,3,3,3,3,1,1,1,1,1,3,1,1,3,3,5,2,1,4,,,,,4,2,5,50,0,50,50,,,
676,"2009","59","高橋＝比奈子",1,3,1,52,1,0,"自民党",2,50,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,"2009","60","階＝猛",1,3,1,52,3,1,"民主党",1,42,1,,,,3,5,1,3,4,3,3,2,1,5,4,3,5,3,2,4,5,3,4,3,2,3,3,,,,,2,2,3,25,100,50,40,,,
41,"2009","61","伊沢＝昌弘",1,3,1,52,1,0,"社民党",1,61,4,,,,1,2,5,3,2,3,3,4,2,1,3,5,5,5,3,5,5,3,3,5,2,4,5,,,,,1,3,2,50,0,0,30,,,
374,"2009","62","吉田＝恭子",1,3,1,,1,0,"共産党",2,27,4,,,,1,2,5,3,3,3,4,2,3,1,5,5,5,5,4,5,5,2,4,5,1,3,5,,,,,3,2,1,0,0,0,0,,,
1277,"2009","63","森＝憲作",1,3,1,,1,0,"諸派",1,52,4,,,,3,4,1,2,2,3,3,3,2,1,1,1,1,1,1,1,3,1,1,5,3,1,2,,,,,4,3,4,50,0,50,50,,,
2506,"2009","64","鈴木＝俊一",1,3,2,52,3,6,"自民党",1,55,4,,,,1,5,3,4,3,1,3,3,2,3,2,1,2,3,1,2,4,1,1,2,3,3,3,,,,,3,2,3,50,30,40,50,,,
2145,"2009","65","畑＝浩治",1,3,2,52,1,0,"民主党",1,45,1,,,,1,3,4,3,4,2,2,2,2,3,2,2,3,3,1,3,5,1,2,5,2,3,3,,,,,2,3,3,,100,,,,,
626,"2009","66","工藤＝哲子",1,3,2,,1,0,"諸派",2,46,4,,,,3,4,1,2,3,3,3,3,3,1,1,1,1,1,1,1,3,2,3,5,4,1,3,,,,,3,3,5,40,0,50,50,,,
467,"2009","67","橋本＝英教",1,3,3,52,1,0,"自民党",1,41,4,,,,1,4,3,4,3,1,3,3,3,1,1,1,1,3,1,2,5,2,1,3,5,5,3,,,,,3,3,1,100,,0,50,,,
189,"2009","68","黄川田＝徹",1,3,3,52,3,3,"民主党",1,55,1,,,,1,3,2,3,4,3,2,2,2,5,3,3,3,3,1,2,5,3,2,4,2,3,4,,,,,3,4,3,,,,,,,
17,"2009","69","阿部＝忠臣",1,3,3,,1,0,"諸派",1,35,4,,,,1,3,4,2,2,3,3,3,2,1,1,1,1,1,1,1,3,1,2,5,1,1,4,,,,,3,1,4,75,25,75,75,,,
666,"2009","70","高橋＝嘉信",1,3,4,52,2,1,"自民党",1,55,4,,,,1,3,5,4,2,2,,,,4,1,1,3,3,1,1,3,1,1,2,3,2,2,,,,,2,3,2,70,30,50,40,,,
1371,"2009","71","瀬川＝貞清",1,3,4,52,1,0,"共産党",1,58,4,,,,2,1,5,3,3,3,4,3,3,2,5,5,5,5,2,5,5,3,5,5,1,4,5,,,,,1,5,1,0,30,0,0,,,
1078,"2009","72","小原＝宣良",1,3,4,52,1,0,"社民党",1,65,4,,,,1,2,4,3,2,3,3,4,2,1,5,5,5,5,4,5,5,2,3,5,1,2,2,,,,,1,2,2,30,5,30,50,,,
1108,"2009","73","小沢＝一郎",1,3,4,,3,13,"民主党",1,66,1,,,,3,1,4,3,4,3,2,2,2,5,5,2,5,5,1,1,5,1,,,1,,5,,,,,2,1,3,,,,,,,
23,"2009","74","安永＝陽",1,3,4,,1,0,"諸派",1,61,4,,,,4,2,5,2,3,3,3,3,3,1,3,1,1,1,1,1,1,3,3,5,2,1,2,,,,,2,1,3,77,1,55,55,,,
1997,"2009","75","土井＝亨",1,4,1,52,3,1,"自民党",1,50,4,,,,3,,,4,,1,,,,,,1,1,3,1,1,3,1,1,1,3,4,2,,,,,3,1,1,,,,,,,
547,"2009","76","郡＝和子",1,4,1,52,3,1,"民主党",2,51,1,,,,2,3,4,3,4,3,2,1,1,5,4,2,5,5,2,4,5,2,2,3,1,1,4,,,,,2,5,4,,,,,,,
289,"2009","77","角野＝達也",1,4,1,,1,0,"共産党",1,49,4,,,,1,2,4,3,3,3,4,3,3,2,5,5,5,5,2,2,5,2,2,5,1,2,5,,,,,2,4,2,25,0,0,0,,,
154,"2009","78","遠田＝敬一",1,4,1,,1,0,"諸派",1,58,4,,,,3,4,1,2,,,,,,1,3,1,1,1,1,1,1,4,3,4,3,1,3,,,,,4,2,5,,,,,,,
2447,"2009","79","矢島＝卓臣",1,4,1,,1,0,"無所属",1,26,4,,,,1,2,3,3,3,3,2,2,2,2,5,5,5,5,3,5,5,3,2,5,1,3,5,,,,,1,5,1,2,12,4,10,,,
1847,"2009","80","中野＝正志",1,4,2,52,3,3,"自民党",1,60,4,,,,3,5,1,4,3,1,3,3,3,5,1,1,1,3,1,2,3,1,,3,3,3,2,,,,,3,2,3,75,0,50,50,,,
793,"2009","81","斎藤＝恭紀",1,4,2,52,1,0,"民主党",1,39,1,,,,3,5,2,3,4,3,3,2,1,5,3,3,3,,1,,5,4,3,5,2,3,4,,,,,3,5,3,0,100,0,50,,,
36,"2009","82","安部＝公人",1,4,2,,1,0,"諸派",1,42,4,,,,3,4,1,2,3,3,3,3,2,1,2,1,1,1,1,1,1,3,3,5,3,3,5,,,,,3,3,5,50,20,30,50,,,
779,"2009","83","佐藤＝豊",1,4,2,,1,0,"無所属",1,56,4,,,,1,4,5,3,2,3,3,2,2,1,2,5,4,5,1,2,5,3,3,1,5,4,3,,,,,1,3,1,0,0,80,80,,,
1410,"2009","84","西村＝明宏",1,4,3,52,3,2,"自民党",1,48,4,,,,5,1,3,4,3,1,3,3,2,3,1,1,1,3,1,2,3,1,1,3,3,3,2,,,,,3,3,2,,,,,,,
471,"2009","85","橋本＝清仁",1,4,3,52,2,1,"民主党",1,37,1,,,,1,4,3,,4,,,1,1,5,3,3,3,4,2,3,4,3,2,4,2,1,5,,,,,2,4,2,0,100,70,80,,,
1153,"2009","86","小林＝睦明",1,4,3,,1,0,"諸派",1,38,4,,,,1,4,3,2,2,3,3,3,2,2,2,1,1,1,1,1,2,,4,5,1,1,3,,,,,4,1,5,15,0,75,75,,,
58,"2009","87","伊藤＝信太郎",1,4,4,52,3,3,"自民党",1,55,4,,,,5,3,1,4,3,1,3,3,2,5,2,1,1,1,1,2,3,1,2,3,3,3,2,,,,,3,3,3,75,0,50,50,,,
1473,"2009","88","石山＝敬貴",1,4,4,52,1,0,"民主党",1,39,1,,,,5,1,3,3,4,3,3,1,1,3,4,2,4,3,3,4,4,2,2,4,2,4,3,,,,,2,2,2,25,80,60,70,,,
231,"2009","89","加藤＝幹夫",1,4,4,52,1,0,"共産党",1,45,4,,,,1,2,4,3,3,3,4,3,3,1,5,5,5,5,2,2,5,2,2,5,1,3,5,,,,,2,3,2,25,0,0,0,,,
1622,"2009","90","村上＝善昭",1,4,4,,1,0,"諸派",1,36,4,,,,1,3,4,3,3,3,3,3,3,1,1,1,1,1,1,3,1,3,3,5,2,1,3,,,,,3,3,5,40,0,50,50,,,
798,"2009","91","斎藤＝正美",1,4,5,52,1,0,"自民党",1,54,4,,,,1,3,5,4,2,1,3,3,2,1,2,2,2,2,1,2,5,2,2,3,3,3,3,,,,,2,3,2,75,25,25,50,,,
27,"2009","92","安住＝淳",1,4,5,52,3,4,"民主党",1,46,1,,,,1,4,5,,4,,,1,1,5,1,4,3,3,2,2,4,2,3,4,3,2,2,,,,,2,3,2,,80,,,,,
1131,"2009","93","小野寺＝五典",1,4,6,52,3,3,"自民党",1,48,1,,,,1,3,5,4,3,1,3,3,2,3,2,1,3,4,1,1,4,1,1,5,3,3,5,,,,,2,5,2,100,50,50,50,,,
1361,"2009","94","菅野＝哲雄",1,4,6,52,3,2,"社民党",1,60,4,,,,1,2,5,3,2,3,3,4,2,2,5,5,5,5,4,5,4,2,2,4,2,4,5,,,,,1,2,2,50,50,25,25,,,
984,"2009","95","氏家＝次男",1,4,6,,1,0,"諸派",1,61,4,,,,1,3,4,3,3,3,3,3,3,1,5,1,1,1,1,1,1,5,2,5,1,1,1,,,,,3,1,3,,,,,,,
2107,"2009","96","二田＝孝治",1,5,1,52,3,7,"自民党",1,70,4,,,,1,3,5,4,,1,3,,2,3,2,2,4,2,2,2,3,2,2,4,3,2,3,,,,,2,2,1,20,10,0,,,,
990,"2009","97","寺田＝学",1,5,1,52,3,2,"民主党",1,32,1,,,,3,2,1,3,4,3,3,2,2,5,3,2,3,3,2,3,4,3,3,4,2,3,3,,,,,2,5,3,35,50,40,50,,,
2515,"2009","98","鈴木＝知",1,5,1,52,1,0,"共産党",1,32,4,,,,2,1,5,3,3,3,4,3,3,1,4,5,5,5,3,3,5,2,2,5,1,4,4,,,,,2,4,1,25,25,25,0,,,
1917,"2009","99","鶴田＝裕貴博",1,5,1,,1,0,"諸派",1,50,4,,,,4,3,,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,5,5,2,1,3,,,,,4,4,5,10,0,50,50,,,
2053,"2009","100","藤井＝陽光",1,5,1,,1,0,"無所属",1,61,4,,,,1,2,3,2,3,2,3,3,2,2,3,1,1,1,1,1,3,2,2,3,5,4,3,,,,,2,2,4,50,20,70,40,,,
517,"2009","101","金田＝勝年",1,5,2,52,1,0,"自民党",1,59,3,,,,5,3,1,4,2,1,3,3,2,1,3,2,3,3,1,2,4,1,1,3,2,2,3,,,,,2,3,2,60,20,50,40,,,
949,"2009","102","山本＝喜代宏",1,5,2,52,2,1,"社民党",1,53,4,,,,1,3,2,3,2,3,2,4,2,1,3,5,5,5,3,3,4,3,3,5,1,2,5,,,,,1,5,1,25,75,25,50,,,
745,"2009","103","佐々木＝重人",1,5,2,52,1,0,"みんなの党",1,39,4,,,,5,1,4,3,2,2,2,2,2,1,3,5,5,5,3,5,5,4,1,5,1,4,5,,,,,3,5,1,25,0,50,25,,,
2060,"2009","104","藤原＝純一",1,5,2,,1,0,"諸派",1,58,4,,,,1,2,4,2,2,3,3,3,3,1,1,1,1,1,1,1,3,3,4,5,4,1,3,,,,,3,2,4,55,0,51,65,,,
1539,"2009","105","川口＝博",1,5,2,,1,0,"無所属",1,62,1,,,,1,2,5,3,2,3,3,2,2,4,3,2,4,3,2,3,4,3,3,4,2,3,3,,,,,1,4,3,20,70,30,60,,,
620,"2009","106","御法川＝信英",1,5,3,52,3,2,"自民党",1,44,4,,,,1,3,5,4,2,1,3,3,2,3,1,1,2,5,5,2,4,2,1,2,4,3,3,,,,,2,3,3,70,50,70,60,,,
462,"2009","107","京野＝公子",1,5,3,52,1,0,"民主党",2,59,1,,,,3,5,4,3,4,3,2,2,2,5,2,5,5,5,2,4,5,4,3,5,2,3,5,,,,,2,5,4,25,90,25,30,,,
1422,"2009","108","西本＝篤",1,5,3,,1,0,"諸派",1,39,4,,,,4,3,1,2,2,3,3,3,2,2,1,1,1,1,1,1,1,2,4,5,4,1,3,,,,,2,2,4,50,0,75,60,,,
1611,"2009","109","村岡＝敏英",1,5,3,,1,0,"無所属",1,48,4,,,,5,1,3,2,2,2,3,3,2,2,1,2,2,3,1,2,4,2,1,3,3,3,3,,,,,2,2,2,70,50,70,65,,,
160,"2009","110","遠藤＝利明",1,6,1,52,3,4,"自民党",1,58,3,,,,5,,,4,2,1,3,3,2,1,1,2,3,4,2,3,5,2,2,2,5,2,4,,,,,2,2,3,,,,,,,
1000,"2009","111","鹿野＝道彦",1,6,1,52,2,10,"民主党",1,66,1,,,,3,1,5,3,4,3,3,1,1,5,2,2,3,4,2,3,4,2,2,4,2,4,3,,,,,2,2,3,10,70,50,50,,,
760,"2009","112","佐藤＝雅之",1,6,1,52,1,0,"共産党",1,36,4,,,,1,3,4,3,3,3,4,3,3,1,5,5,5,5,2,2,5,2,2,5,1,2,5,,,,,1,3,1,0,0,0,0,,,
1281,"2009","113","森＝大吾郎",1,6,1,,1,0,"諸派",1,35,4,,,,1,5,3,,3,3,3,3,3,2,2,1,1,1,1,1,2,3,3,5,2,1,3,,,,,4,2,4,25,0,70,80,,,
54,"2009","114","伊藤＝香織",1,6,1,,1,0,"無所属",2,27,4,,,,1,4,3,2,3,3,3,3,2,1,3,3,3,4,1,1,3,1,2,5,5,4,1,,,,,3,2,1,30,0,50,70,,,
2498,"2009","115","鈴木＝啓功",1,6,2,52,1,0,"自民党",1,42,4,,,,5,4,3,4,2,2,3,3,2,5,3,1,1,2,1,2,3,3,3,1,4,3,3,,,,,3,1,3,80,0,0,50,,,
492,"2009","116","近藤＝洋介",1,6,2,52,3,2,"民主党",1,43,1,,,,1,3,5,3,4,3,3,1,1,4,2,3,3,3,1,2,4,2,3,5,5,3,4,,,,,3,2,2,20,75,25,25,,,
610,"2009","117","後藤＝克彦",1,6,2,,1,0,"諸派",1,44,4,,,,3,4,5,2,3,3,3,3,3,1,1,1,1,1,3,1,2,4,5,5,3,1,3,,,,,3,3,5,0,0,50,0,,,
235,"2009","118","加藤＝紘一",1,6,3,52,3,12,"自民党",1,69,1,,,,1,2,3,4,3,1,3,3,2,1,2,2,3,3,2,3,5,2,1,2,1,3,3,,,,,1,4,2,80,15,40,50,,,
366,"2009","119","吉泉＝秀男",1,6,3,52,1,0,"社民党",1,60,3,,,,3,5,1,3,1,3,3,4,1,1,5,5,5,5,2,5,5,3,3,5,1,1,5,,,,,1,5,1,0,75,0,25,,,
1881,"2009","120","長谷川＝剛",1,6,3,,1,0,"共産党",1,30,4,,,,1,4,3,3,3,3,4,3,3,1,5,5,5,5,2,2,5,2,2,5,1,2,5,,,,,1,3,1,0,0,0,0,,,
1249,"2009","121","城取＝良太",1,6,3,,1,0,"諸派",1,32,4,,,,1,4,3,2,3,3,3,3,3,2,1,1,1,1,1,3,3,4,5,5,2,1,2,,,,,5,3,4,25,0,30,50,,,
341,"2009","122","亀岡＝偉民",1,7,1,52,3,1,"自民党",1,53,4,,,,1,5,,4,3,1,3,3,1,1,1,1,1,3,1,1,3,1,2,3,3,3,1,,,,,1,1,1,100,0,100,50,,,
1469,"2009","123","石原＝洋三郎",1,7,1,52,1,0,"民主党",1,35,1,,,,1,3,,3,4,3,3,1,1,5,5,4,2,5,5,4,5,1,4,3,2,4,3,,,,,2,2,,10,80,30,60,,,
