uid,ID,YEAR,ELECYEAR,NAME,RESPONSE,PREFEC,DISTRICT,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,prim1,prim2,prim3,camp1,camp2,camp3,coal_lib,coal_dem,coal_kmei,coal_com,coal_soc,coal_koku,constitu,ideology,yn_medconst,yn_reps,yn_const,yn_defense,yn_preemp,yn_unsc,yn_nkorea,yn_smgov,yn_pubspend,yn_fiscalpol,yn_female,yn_tax5yrs,yn_frgnvote,yn_frgnwork,yn_privacy,yn_tax10pc,yn_moral,media_hp,media_sns,media_bul,media_tv,ab_asiaus,ab_compet,ab_env,ab_singlemum,ab_trade,fav_masuzoe,fav_ozawa,fav_watanabe,fav_hashimoto
408.7,35,2003,,佐藤剛男,1,7,1.0,2,,,1,,,,,,,,,,,,,,,,,5,,,,1,1,1,,5,1,1,1,,,,,,,4,,2,,,,,,,,,,
1830.7,36,2003,,根本匠,0,7,2.0,2,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
2294.7,37,2003,,玄葉光一郎,1,7,3.0,2,,,2,,,,,,,,,,,,,,,,,5,,,,3,3,2,,3,3,3,2,,,,,,,4,,3,,,,,,,,,,
2228.7,38,2003,,渡部恒三,0,7,4.0,2,,,22,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
675.7,39,2003,,吉野正芳,1,7,5.0,2,,,1,,,,,,,,,,,,,,,,,8,,,,3,3,1,,4,2,3,3,,,,,,,4,,2,,,,,,,,,,
2935.8,40,2003,,赤城徳彦,1,8,1.0,3,,,1,,,,,,,,,,,,,,,,,6,,,,9,9,9,,5,2,2,2,,,,,,,3,,0,,,,,,,,,,
3228.8,41,2003,,額賀福志郎,0,8,2.0,3,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
2762.8,42,2003,,葉梨信行,1,8,3.0,3,,,1,,,,,,,,,,,,,,,,,8,,,,2,3,2,,4,2,2,4,,,,,,,0,,2,,,,,,,,,,
1864.8,43,2003,,梶山弘志,1,8,4.0,3,,,1,,,,,,,,,,,,,,,,,6.5,,,,2,3,1,,3,2,2,3,,,,,,,4,,2,,,,,,,,,,
860.8,44,2003,,大畠章宏,1,8,5.0,3,,,2,,,,,,,,,,,,,,,,,5,,,,3,3,1,,3,3,3,2,,,,,,,3,,2,,,,,,,,,,
219.8,45,2003,,丹羽雄哉,0,8,6.0,3,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
2030.8,46,2003,,永岡洋治,1,8,7.0,3,,,1,,,,,,,,,,,,,,,,,8,,,,1,1,2,,4,2,1,3,,,,,,,3,,5,,,,,,,,,,
2010.9,47,2003,,水島広子,1,9,1.0,3,,,2,,,,,,,,,,,,,,,,,5,,,,5,5,2,,3,3,3,1,,,,,,,2,,1,,,,,,,,,,
2848.9,48,2003,,西川公也,1,9,2.0,3,,,1,,,,,,,,,,,,,,,,,6,,,,1,5,1,,3,1,1,2,,,,,,,4,,3,,,,,,,,,,
2210.9,49,2003,,渡辺喜美,1,9,3.0,3,,,1,,,,,,,,,,,,,,,,,11,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,,,,,,,,,,
409.9,50,2003,,佐藤勉,1,9,4.0,3,,,1,,,,,,,,,,,,,,,,,8,,,,2,2,1,,3,2,2,3,,,,,,,5,,3,,,,,,,,,,
2713.9,51,2003,,茂木敏充,1,9,5.0,3,,,1,,,,,,,,,,,,,,,,,5,,,,3,4,1,,3,3,3,2,,,,,,,3,,2,,,,,,,,,,
394.10,52,2003,,佐田玄一郎,1,10,1.0,3,,,1,,,,,,,,,,,,,,,,,8,,,,9,3,3,,3,1,1,2,,,,,,,1,,4,,,,,,,,,,
2625.10,53,2003,,笹川尭,1,10,2.0,3,,,1,,,,,,,,,,,,,,,,,11,,,,1,1,1,,3,2,1,4,,,,,,,1,,3,,,,,,,,,,
2922.10,54,2003,,谷津義男,1,10,3.0,3,,,1,,,,,,,,,,,,,,,,,3,,,,4,2,1,,2,9,1,4,,,,,,,5,,3,,,,,,,,,,
2560.10,55,2003,,福田康夫,0,10,4.0,3,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
1120.10,56,2003,,小渕優子,1,10,5.0,3,,,1,,,,,,,,,,,,,,,,,8,,,,2,4,3,,3,2,2,3,,,,,,,3,,4,,,,,,,,,,
1985.11,57,2003,,武正公一,1,11,1.0,3,,,2,,,,,,,,,,,,,,,,,8,,,,2,2,2,,2,4,4,2,,,,,,,2,,3,,,,,,,,,,
1549.11,58,2003,,新藤義孝,1,11,2.0,3,,,1,,,,,,,,,,,,,,,,,5,,,,2,2,1,,3,4,4,3,,,,,,,2,,2,,,,,,,,,,
2661.11,59,2003,,細川律夫,1,11,3.0,3,,,2,,,,,,,,,,,,,,,,,11,,,,5,5,2,,4,5,3,1,,,,,,,4,,1,,,,,,,,,,
73.11,60,2003,,上田清司,1,11,4.0,3,,,2,,,,,,,,,,,,,,,,,8,,,,1,5,2,,3,3,2,2,,,,,,,3,,1,,,,,,,,,,
1796.11,61,2003,,枝野幸男,1,11,5.0,3,,,2,,,,,,,,,,,,,,,,,5,,,,2,5,5,,4,5,5,3,,,,,,,2,,2,,,,,,,,,,
838.11,62,2003,,大島敦,1,11,6.0,3,,,2,,,,,,,,,,,,,,,,,6,,,,3,1,3,,5,3,3,3,,,,,,,4,,1,,,,,,,,,,
201.11,63,2003,,中野清,1,11,7.0,3,,,1,,,,,,,,,,,,,,,,,6,,,,3,3,2,,3,2,1,3,,,,,,,4,,2,,,,,,,,,,
1592.11,64,2003,,木下厚,1,11,8.0,3,,,2,,,,,,,,,,,,,,,,,7,,,,2,1,1,,2,2,4,5,,,,,,,3,,1,,,,,,,,,,
885.11,65,2003,,大野松茂,1,11,9.0,3,,,1,,,,,,,,,,,,,,,,,6,,,,4,1,1,,3,2,4,3,,,,,,,4,,5,,,,,,,,,,
1206.11,66,2003,,山口泰明,1,11,10.0,3,,,1,,,,,,,,,,,,,,,,,8,,,,2,3,1,,3,1,2,4,,,,,,,5,,2,,,,,,,,,,
1118.11,67,2003,,小泉龍司,0,11,11.0,3,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
1051.11,68,2003,,小島敏男,1,11,12.0,3,,,1,,,,,,,,,,,,,,,,,7,,,,1,3,2,,4,3,1,3,,,,,,,9,,4,,,,,,,,,,
716.11,69,2003,,土屋品子,1,11,13.0,3,,,1,,,,,,,,,,,,,,,,,6,,,,2,2,2,,2,4,4,5,,,,,,,4,,2,,,,,,,,,,
13.11,70,2003,,三ツ林隆志,1,11,14.0,3,,,1,,,,,,,,,,,,,,,,,8,,,,1,1,2,,3,2,4,3,,,,,,,5,,3,,,,,,,,,,
2687.12,71,2003,,臼井日出男,1,12,1.0,4,,,1,,,,,,,,,,,,,,,,,7,,,,3,3,1,,3,2,1,3,,,,,,,4,,2,,,,,,,,,,
2035.12,72,2003,,永田寿康,1,12,2.0,4,,,2,,,,,,,,,,,,,,,,,8,,,,3,2,2,,1,5,5,3,,,,,,,3,,0,,,,,,,,,,
1772.12,73,2003,,松野博一,1,12,3.0,4,,,1,,,,,,,,,,,,,,,,,7,,,,2,2,3,,4,2,3,3,,,,,,,4,,3,,,,,,,,,,
3048.12,74,2003,,野田佳彦,1,12,4.0,4,,,2,,,,,,,,,,,,,,,,,8,,,,2,4,1,,3,5,5,2,,,,,,,2,,0.5,,,,,,,,,,
2326.12,75,2003,,田中甲,1,12,5.0,4,,,25,,,,,,,,,,,,,,,,,4,,,,3,3,3,,4,3,5,3,,,,,,,3,,2,,,,,,,,,,
2309.12,76,2003,,生方幸夫,1,12,6.0,4,,,2,,,,,,,,,,,,,,,,,1,,,,4,5,3,,4,4,2,2,,,,,,,1,,5,,,,,,,,,,
1732.12,77,2003,,松本和那,1,12,7.0,4,,,1,,,,,,,,,,,,,,,,,4,,,,1,2,2,,3,3,2,2,,,,,,,5,,3,,,,,,,,,,
3156.12,78,2003,,長浜博行,1,12,8.0,4,,,2,,,,,,,,,,,,,,,,,6,,,,3,3,3,,2,4,4,2,,,,,,,2,,1,,,,,,,,,,
2018.12,79,2003,,水野賢一,1,12,9.0,4,,,1,,,,,,,,,,,,,,,,,6,,,,2,3,1,,4,4,4,3,,,,,,,4,,2,,,,,,,,,,
1786.12,80,2003,,林幹雄,1,12,10.0,4,,,1,,,,,,,,,,,,,,,,,7,,,,1,2,1,,5,2,4,9,,,,,,,3,,2,,,,,,,,,,
1906.12,81,2003,,森英介,1,12,11.0,4,,,1,,,,,,,,,,,,,,,,,8,,,,3,3,3,,2,2,2,3,,,,,,,5,,0,,,,,,,,,,
165.12,82,2003,,中村正三郎,0,12,12.0,4,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
2171.13,83,2003,,海江田万里,1,13,1.0,5,,,2,,,,,,,,,,,,,,,,,6,,,,9,9,9,,9,9,9,9,,,,,,,2,,9,,,,,,,,,,
118.13,84,2003,,中山義活,1,13,2.0,5,,,2,,,,,,,,,,,,,,,,,8,,,,2,1,1,,3,3,1,3,,,,,,,9,,2,,,,,,,,,,
1706.13,85,2003,,松原仁,1,13,3.0,5,,,2,,,,,,,,,,,,,,,,,3,,,,3,2,1,,5,4,1,3,,,,,,,3.5,,3,,,,,,,,,,
1901.13,86,2003,,森田健作,1,13,4.0,5,,,1,,,,,,,,,,,,,,,,,9,,,,1,3,1,,3,2,1,2,,,,,,,0,,0,,,,,,,,,,
1501.13,87,2003,,手塚仁雄,1,13,5.0,5,,,2,,,,,,,,,,,,,,,,,3,,,,4,4,1,,3,4,4,1,,,,,,,1,,0,,,,,,,,,,
1042.13,88,2003,,小宮山洋子,1,13,6.0,5,,,2,,,,,,,,,,,,,,,,,4.5,,,,3,3,2,,4,4,3,1,,,,,,,1,,2,,,,,,,,,,
3143.13,89,2003,,長妻昭,1,13,7.0,5,,,2,,,,,,,,,,,,,,,,,11,,,,1,3,3,,4,4,5,3,,,,,,,2,,1,,,,,,,,,,
2449.13,90,2003,,石原伸晃,0,13,8.0,5,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
641.13,91,2003,,吉田公一,1,13,9.0,5,,,2,,,,,,,,,,,,,,,,,8,,,,3,1,1,,1,3,4,3,,,,,,,3,,2,,,,,,,,,,
1099.13,92,2003,,小林興起,1,13,10.0,5,,,1,,,,,,,,,,,,,,,,,5,,,,1,1,1,,3,3,1,1,,,,,,,1,,1,,,,,,,,,,
85.13,93,2003,,下村博文,1,13,11.0,5,,,1,,,,,,,,,,,,,,,,,7,,,,3,1,1,,2,3,3,3,,,,,,,4,,1,,,,,,,,,,
462.13,94,2003,,八代英太,1,13,12.0,5,,,1,,,,,,,,,,,,,,,,,8,,,,2,3,1,,3,3,3,3,,,,,,,1,,2,,,,,,,,,,
3324.13,95,2003,,鴨下一郎,1,13,13.0,5,,,1,,,,,,,,,,,,,,,,,7,,,,2,2,1,,2,2,2,2,,,,,,,4,,2,,,,,,,,,,
2849.13,96,2003,,西川太一郎,1,13,14.0,5,,,21,,,,,,,,,,,,,,,,,11,,,,3,3,2,,4,2,2,3,,,,,,,5,,4,,,,,,,,,,
1818.13,97,2003,,柿沢弘治,1,13,15.0,5,,,22,,,,,,,,,,,,,,,,,7,,,,2,2,1,,3,5,2,2,,,,,,,3,,3,,,,,,,,,,
923.13,98,2003,,宇田川芳雄,1,13,16.0,5,,,22,,,,,,,,,,,,,,,,,5,,,,1,1,1,,4,2,2,5,,,,,,,4,,2,,,,,,,,,,
1436.13,99,2003,,平沢勝栄,1,13,17.0,5,,,1,,,,,,,,,,,,,,,,,11,,,,2,2,1,,3,4,3,3,,,,,,,3,,2,,,,,,,,,,
2735.13,100,2003,,菅直人,1,13,18.0,5,,,2,,,,,,,,,,,,,,,,,5,,,,3,4,1,,4,4,3,2,,,,,,,1,,2,,,,,,,,,,
1626.13,101,2003,,末松義規,0,13,19.0,5,,,2,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
514.13,102,2003,,加藤公一,1,13,20.0,5,,,2,,,,,,,,,,,,,,,,,5,,,,3,3,4,,2,5,5,4,,,,,,,1,,1,,,,,,,,,,
1392.13,103,2003,,川田悦子,1,13,21.0,5,,,13,,,,,,,,,,,,,,,,,2,,,,5,5,4,,5,2,4,2,,,,,,,1,,2,,,,,,,,,,
1282.13,104,2003,,山花郁夫,1,13,22.0,5,,,2,,,,,,,,,,,,,,,,,3,,,,4,5,3,,3,4,5,1,,,,,,,3,,2,,,,,,,,,,
352.13,105,2003,,伊藤公介,1,13,23.0,5,,,1,,,,,,,,,,,,,,,,,8,,,,1,2,1,,4,1,4,3,,,,,,,3,,2,,,,,,,,,,
3190.13,106,2003,,阿久津幸彦,1,13,24.0,5,,,2,,,,,,,,,,,,,,,,,5,,,,2,5,1,,3,3,3,1,,,,,,,2,,5,,,,,,,,,,
2475.13,107,2003,,石川要三,1,13,25.0,5,,,1,,,,,,,,,,,,,,,,,6,,,,4,3,3,,2,3,5,4,,,,,,,9,,0,,,,,,,,,,
436.14,108,2003,,佐藤謙一郎,1,14,1.0,4,,,2,,,,,,,,,,,,,,,,,11,,,,5,4,1,,9,9,4,9,,,,,,,1,,0,,,,,,,,,,
2736.14,109,2003,,菅義偉,1,14,2.0,4,,,1,,,,,,,,,,,,,,,,,3,,,,3,1,1,,1,4,2,2,,,,,,,9,,1,,,,,,,,,,
1105.14,110,2003,,小此木八郎,1,14,3.0,4,,,1,,,,,,,,,,,,,,,,,8,,,,1,2,1,,3,3,1,3,,,,,,,5,,2,,,,,,,,,,
862.14,111,2003,,大石尚子,1,14,4.0,4,,,2,,,,,,,,,,,,,,,,,6,,,,2,2,1,,3,4,3,2,,,,,,,0,,1,,,,,,,,,,
2322.14,112,2003,,田中慶秋,1,14,5.0,4,,,2,,,,,,,,,,,,,,,,,3,,,,3,2,1,,3,3,2,2,,,,,,,3,,1,,,,,,,,,,
2066.14,113,2003,,池田元久,1,14,6.0,4,,,2,,,,,,,,,,,,,,,,,11,,,,4,3,2,,3,3,2,3,,,,,,,5,,2,,,,,,,,,,
3104.14,114,2003,,鈴木恒夫,1,14,7.0,4,,,1,,,,,,,,,,,,,,,,,3,,,,4,5,2,,2,3,3,3,,,,,,,6,,1,,,,,,,,,,
2049.14,115,2003,,江田憲司,1,14,8.0,4,,,13,,,,,,,,,,,,,,,,,5.5,,,,3,2,1,,3,4,4,2,,,,,,,2,,2,,,,,,,,,,
0.14,116,2003,,.,9,14,9.0,4,,,99,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
2319.14,117,2003,,田中和徳,1,14,10.0,4,,,1,,,,,,,,,,,,,,,,,7,,,,1,2,1,,1,3,4,3,,,,,,,4,,1,,,,,,,,,,
1116.14,118,2003,,小泉純一郎,0,14,11.0,4,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
2045.14,119,2003,,江崎洋一郎,1,14,12.0,4,,,21,,,,,,,,,,,,,,,,,8,,,,2,3,1,,2,3,3,3,,,,,,,9,,1,,,,,,,,,,
2307.14,120,2003,,甘利明,1,14,13.0,4,,,1,,,,,,,,,,,,,,,,,7,,,,3,2,1,,4,3,2,3,,,,,,,3,,4.5,,,,,,,,,,
2783.14,121,2003,,藤井裕久,1,14,14.0,4,,,24,,,,,,,,,,,,,,,,,5,,,,3,4,1,,5,3,4,2,,,,,,,4,,2,,,,,,,,,,
2108.14,122,2003,,河野太郎,1,14,15.0,4,,,1,,,,,,,,,,,,,,,,,11,,,,3,3,1,,9,4,5,3,,,,,,,1,,2,,,,,,,,,,
235.14,123,2003,,亀井善之,1,14,16.0,4,,,1,,,,,,,,,,,,,,,,,8,,,,1,2,1,,3,2,4,2,,,,,,,3,,3,,,,,,,,,,
2112.14,124,2003,,河野洋平,1,14,17.0,4,,,1,,,,,,,,,,,,,,,,,6,,,,3,5,3,,5,2,1,2,,,,,,,9,,2,,,,,,,,,,
642.15,128,2003,,吉田六左エ門,1,15,1.0,6,,,1,,,,,,,,,,,,,,,,,11,,,,9,9,1,,5,1,1,1,,,,,,,1,,1,,,,,,,,,,
2977.15,129,2003,,近藤基彦,1,15,2.0,6,,,1,,,,,,,,,,,,,,,,,6,,,,1,3,1,,3,2,2,2,,,,,,,4,,2,,,,,,,,,,
2592.15,130,2003,,稲葉大和,1,15,3.0,6,,,1,,,,,,,,,,,,,,,,,10,,,,1,5,3,,4,1,2,5,,,,,,,4,,3,,,,,,,,,,
1822.15,131,2003,,栗原博久,1,15,4.0,6,,,1,,,,,,,,,,,,,,,,,7,,,,3,3,1,,5,1,1,5,,,,,,,0,,3,,,,,,,,,,
1575.15,132,2003,,星野行男,1,15,5.0,6,,,1,,,,,,,,,,,,,,,,,8,,,,1,1,1,,2,1,1,4,,,,,,,9,,2,,,,,,,,,,
2628.15,133,2003,,筒井信隆,1,15,6.0,6,,,2,,,,,,,,,,,,,,,,,5,,,,4,4,1,,4,2,2,1,,,,,,,2,,2,,,,,,,,,,
3137.16,134,2003,,長勢甚遠,0,16,1.0,6,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
999.16,135,2003,,宮腰光寛,0,16,2.0,6,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
2671.16,136,2003,,綿貫民輔,0,16,3.0,6,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
3246.17,137,2003,,馳浩,1,17,1.0,6,,,1,,,,,,,,,,,,,,,,,8,,,,1,2,2,,2,3,2,4,,,,,,,1,,2,,,,,,,,,,
1873.17,138,2003,,森喜朗,0,17,2.0,6,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
2306.17,139,2003,,瓦力,1,17,3.0,6,,,1,,,,,,,,,,,,,,,,,7,,,,2,3,2,,2,2,2,3,,,,,,,4,,2,,,,,,,,,,
1709.18,140,2003,,松宮勲,1,18,1.0,6,,,1,,,,,,,,,,,,,,,,,7,,,,2,3,2,,4,3,2,2,,,,,,,4,,2,,,,,,,,,,
2284.18,141,2003,,牧野隆守,1,18,2.0,6,,,1,,,,,,,,,,,,,,,,,4,,,,1,3,1,,5,1,1,3,,,,,,,0,,0,,,,,,,,,,
3259.18,142,2003,,高木毅,1,18,3.0,6,,,1,,,,,,,,,,,,,,,,,8,,,,1,2,1,,2,2,4,3,,,,,,,2,,4,,,,,,,,,,
1113.19,125,2003,,小沢鋭仁,1,19,1.0,4,,,2,,,,,,,,,,,,,,,,,8,,,,3,3,2,,3,4,4,3,,,,,,,2,,1.5,,,,,,,,,,
760.19,126,2003,,堀内光雄,0,19,2.0,4,,,1,,,,,,,,,,,,,,,,,.,,,,.,.,.,,.,.,.,.,,,,,,,.,,.,,,,,,,,,,
450.19,127,2003,,保坂武,1,19,3.0,4,,,13,,,,,,,,,,,,,,,,,9,,,,2,3,1,,3,2,2,3,,,,,,,5,,4,,,,,,,,,,
1037.20,143,2003,,小坂憲次,1,20,1.0,6,,,1,,,,,,,,,,,,,,,,,6,,,,1,3,1,,3,2,2,2,,,,,,,3,,2,,,,,,,,,,
1671.20,144,2003,,村井仁,1,20,2.0,6,,,1,,,,,,,,,,,,,,,,,7,,,,3,3,1,,3,1,1,2,,,,,,,3,,1,,,,,,,,,,
2681.20,145,2003,,羽田孜,1,20,3.0,6,,,2,,,,,,,,,,,,,,,,,11,,,,5,9,5,,3,4,2,3,,,,,,,4,,2,,,,,,,,,,
1472.20,146,2003,,後藤茂之,1,20,4.0,6,,,13,,,,,,,,,,,,,,,,,6,,,,2,2,1,,2,2,4,1,,,,,,,3,,2,,,,,,,,,,
959.20,147,2003,,宮下創平,1,20,5.0,6,,,1,,,,,,,,,,,,,,,,,5,,,,3,2,1,,3,2,2,3,,,,,,,0,,3,,,,,,,,,,
3053.21,148,2003,,野田聖子,1,21,1.0,7,,,1,,,,,,,,,,,,,,,,,8,,,,3,3,1,,2,3,2,2,,,,,,,3,,4,,,,,,,,,,
1866.21,149,2003,,棚橋泰文,1,21,2.0,7,,,1,,,,,,,,,,,,,,,,,5,,,,2,1,2,,4,3,3,2,,,,,,,4,,2,,,,,,,,,,
1996.21,150,2003,,武藤嘉文,1,21,3.0,7,,,1,,,,,,,,,,,,,,,,,7,,,,3,2,1,,3,2,1,4,,,,,,,9,,2,,,,,,,,,,
